phi,theta,Value,image
0,3,3,prs_images/06817.vti_3.prs.png
0,4,3,prs_images/06817.vti_4.prs.png
0,5,3,prs_images/06817.vti_5.prs.png
1,0,3,prs_images/06817.vti_6.prs.png
1,1,3,prs_images/06817.vti_7.prs.png
1,2,3,prs_images/06817.vti_8.prs.png
1,3,3,prs_images/06817.vti_9.prs.png
1,4,3,prs_images/06817.vti_10.prs.png
1,5,3,prs_images/06817.vti_11.prs.png
2,0,3,prs_images/06817.vti_12.prs.png
2,1,3,prs_images/06817.vti_13.prs.png
2,2,3,prs_images/06817.vti_14.prs.png
2,3,3,prs_images/06817.vti_15.prs.png
2,4,3,prs_images/06817.vti_16.prs.png
2,5,3,prs_images/06817.vti_17.prs.png
3,0,3,prs_images/06817.vti_18.prs.png
3,1,3,prs_images/06817.vti_19.prs.png
3,2,3,prs_images/06817.vti_20.prs.png
3,3,3,prs_images/06817.vti_21.prs.png
3,4,3,prs_images/06817.vti_22.prs.png
3,5,3,prs_images/06817.vti_23.prs.png
0,0,4,prs_images/08948.vti_0.prs.png
0,1,4,prs_images/08948.vti_1.prs.png
0,2,4,prs_images/08948.vti_2.prs.png
0,3,4,prs_images/08948.vti_3.prs.png
0,4,4,prs_images/08948.vti_4.prs.png
0,5,4,prs_images/08948.vti_5.prs.png
1,0,4,prs_images/08948.vti_6.prs.png
1,1,4,prs_images/08948.vti_7.prs.png
1,2,4,prs_images/08948.vti_8.prs.png
1,3,4,prs_images/08948.vti_9.prs.png
1,4,4,prs_images/08948.vti_10.prs.png
1,5,4,prs_images/08948.vti_11.prs.png
2,0,4,prs_images/08948.vti_12.prs.png
2,1,4,prs_images/08948.vti_13.prs.png
2,2,4,prs_images/08948.vti_14.prs.png
2,3,4,prs_images/08948.vti_15.prs.png
2,4,4,prs_images/08948.vti_16.prs.png
2,5,4,prs_images/08948.vti_17.prs.png
3,0,4,prs_images/08948.vti_18.prs.png
3,1,4,prs_images/08948.vti_19.prs.png
3,2,4,prs_images/08948.vti_20.prs.png
3,3,4,prs_images/08948.vti_21.prs.png
3,4,4,prs_images/08948.vti_22.prs.png
3,5,4,prs_images/08948.vti_23.prs.png
0,0,5,prs_images/10487.vti_0.prs.png
0,1,5,prs_images/10487.vti_1.prs.png
0,2,5,prs_images/10487.vti_2.prs.png
0,3,5,prs_images/10487.vti_3.prs.png
0,4,5,prs_images/10487.vti_4.prs.png
0,5,5,prs_images/10487.vti_5.prs.png
1,0,5,prs_images/10487.vti_6.prs.png
1,1,5,prs_images/10487.vti_7.prs.png
1,2,5,prs_images/10487.vti_8.prs.png
1,3,5,prs_images/10487.vti_9.prs.png
1,4,5,prs_images/10487.vti_10.prs.png
1,5,5,prs_images/10487.vti_11.prs.png
2,0,5,prs_images/10487.vti_12.prs.png
2,1,5,prs_images/10487.vti_13.prs.png
2,2,5,prs_images/10487.vti_14.prs.png
2,3,5,prs_images/10487.vti_15.prs.png
2,4,5,prs_images/10487.vti_16.prs.png
2,5,5,prs_images/10487.vti_17.prs.png
3,0,5,prs_images/10487.vti_18.prs.png
3,1,5,prs_images/10487.vti_19.prs.png
3,2,5,prs_images/10487.vti_20.prs.png
3,3,5,prs_images/10487.vti_21.prs.png
3,4,5,prs_images/10487.vti_22.prs.png
3,5,5,prs_images/10487.vti_23.prs.png
0,0,6,prs_images/12244.vti_0.prs.png
0,1,6,prs_images/12244.vti_1.prs.png
0,2,6,prs_images/12244.vti_2.prs.png
0,3,6,prs_images/12244.vti_3.prs.png
0,4,6,prs_images/12244.vti_4.prs.png
0,5,6,prs_images/12244.vti_5.prs.png
1,0,6,prs_images/12244.vti_6.prs.png
1,1,6,prs_images/12244.vti_7.prs.png
1,2,6,prs_images/12244.vti_8.prs.png
1,3,6,prs_images/12244.vti_9.prs.png
1,4,6,prs_images/12244.vti_10.prs.png
1,5,6,prs_images/12244.vti_11.prs.png
2,0,6,prs_images/12244.vti_12.prs.png
2,1,6,prs_images/12244.vti_13.prs.png
2,2,6,prs_images/12244.vti_14.prs.png
2,3,6,prs_images/12244.vti_15.prs.png
2,4,6,prs_images/12244.vti_16.prs.png
2,5,6,prs_images/12244.vti_17.prs.png
3,0,6,prs_images/12244.vti_18.prs.png
3,1,6,prs_images/12244.vti_19.prs.png
3,2,6,prs_images/12244.vti_20.prs.png
