timestep,tev
1,0.021311317
2,0.021508291
3,0.022203505
4,0.023204554
5,0.024304003
6,0.025278041
7,0.026509635
8,0.027255924
9,0.028788414
10,0.030508092
11,0.031560436
12,0.032400765
13,0.032725465
14,0.033506237
15,0.034227554
16,0.035294708
17,0.036139898
18,0.036531195
19,0.036982577
20,0.036996763
21,0.036658958
22,0.036577042
23,0.0358938
24,0.03564717
25,0.03218563
26,0.030820979
27,0.03029001
28,0.02934668
29,0.028553704
30,0.027511168
31,0.026195357
32,0.024019653
33,0.022832539
34,0.022763832
35,0.022699561
36,0.022635506
