phi,theta,Value,image
2,0,5,tev_images/10487.vti_12.png
2,1,5,tev_images/10487.vti_13.png
2,2,5,tev_images/10487.vti_14.png
2,3,5,tev_images/10487.vti_15.png
2,4,5,tev_images/10487.vti_16.png
2,5,5,tev_images/10487.vti_17.png
3,0,5,tev_images/10487.vti_18.png
3,1,5,tev_images/10487.vti_19.png
3,2,5,tev_images/10487.vti_20.png
3,3,5,tev_images/10487.vti_21.png
3,4,5,tev_images/10487.vti_22.png
3,5,5,tev_images/10487.vti_23.png
0,0,6,tev_images/12244.vti_0.png
0,1,6,tev_images/12244.vti_1.png
0,2,6,tev_images/12244.vti_2.png
0,3,6,tev_images/12244.vti_3.png
0,4,6,tev_images/12244.vti_4.png
0,5,6,tev_images/12244.vti_5.png
1,0,6,tev_images/12244.vti_6.png
1,1,6,tev_images/12244.vti_7.png
1,2,6,tev_images/12244.vti_8.png
1,3,6,tev_images/12244.vti_9.png
1,4,6,tev_images/12244.vti_10.png
1,5,6,tev_images/12244.vti_11.png
2,0,6,tev_images/12244.vti_12.png
2,1,6,tev_images/12244.vti_13.png
2,2,6,tev_images/12244.vti_14.png
2,3,6,tev_images/12244.vti_15.png
2,4,6,tev_images/12244.vti_16.png
2,5,6,tev_images/12244.vti_17.png
3,0,6,tev_images/12244.vti_18.png
3,1,6,tev_images/12244.vti_19.png
3,2,6,tev_images/12244.vti_20.png
3,3,6,tev_images/12244.vti_21.png
3,4,6,tev_images/12244.vti_22.png
3,5,6,tev_images/12244.vti_23.png
0,0,7,tev_images/13306.vti_0.png
0,1,7,tev_images/13306.vti_1.png
0,2,7,tev_images/13306.vti_2.png
0,3,7,tev_images/13306.vti_3.png
0,4,7,tev_images/13306.vti_4.png
0,5,7,tev_images/13306.vti_5.png
1,0,7,tev_images/13306.vti_6.png
1,1,7,tev_images/13306.vti_7.png
1,2,7,tev_images/13306.vti_8.png
1,3,7,tev_images/13306.vti_9.png
1,4,7,tev_images/13306.vti_10.png
1,5,7,tev_images/13306.vti_11.png
2,0,7,tev_images/13306.vti_12.png
2,1,7,tev_images/13306.vti_13.png
2,2,7,tev_images/13306.vti_14.png
2,3,7,tev_images/13306.vti_15.png
2,4,7,tev_images/13306.vti_16.png
2,5,7,tev_images/13306.vti_17.png
3,0,7,tev_images/13306.vti_18.png
3,1,7,tev_images/13306.vti_19.png
3,2,7,tev_images/13306.vti_20.png
3,3,7,tev_images/13306.vti_21.png
3,4,7,tev_images/13306.vti_22.png
3,5,7,tev_images/13306.vti_23.png
0,0,8,tev_images/15159.vti_0.png
0,1,8,tev_images/15159.vti_1.png
0,2,8,tev_images/15159.vti_2.png
0,3,8,tev_images/15159.vti_3.png
0,4,8,tev_images/15159.vti_4.png
0,5,8,tev_images/15159.vti_5.png
1,0,8,tev_images/15159.vti_6.png
1,1,8,tev_images/15159.vti_7.png
1,2,8,tev_images/15159.vti_8.png
1,3,8,tev_images/15159.vti_9.png
1,4,8,tev_images/15159.vti_10.png
1,5,8,tev_images/15159.vti_11.png
2,0,8,tev_images/15159.vti_12.png
2,1,8,tev_images/15159.vti_13.png
2,2,8,tev_images/15159.vti_14.png
2,3,8,tev_images/15159.vti_15.png
2,4,8,tev_images/15159.vti_16.png
2,5,8,tev_images/15159.vti_17.png
3,0,8,tev_images/15159.vti_18.png
3,1,8,tev_images/15159.vti_19.png
3,2,8,tev_images/15159.vti_20.png
